author,message message
Moonchild,This is going to be an interesting day! What revelations will be revealed? Picture gone @SABC News  Yes eNCA too 😞  "All the implicated people say they would never ever ever do something so dishonest or unethical!! 🙂 Yeah "@André du Plessis - nope I haven't @Mike Clark 😂🤣 #VoetsekANC Here we go with the lawyers of the implicated to start going off on a tangent to try & delay the work of the commission! Shut up & sit down!! "If you are telling the truth Well said Mr Soni She is rambling on & on now to try divert attention away from her incompetence & dishonesty. DCJ & Soni must put an end to it. Oh for heaven's sake! Here we go again with these ridiculous platitudes by these lawyers clutching at straws for their guilty clients!!  I wish that Zuma would come to the Commission & let all the skeletons out of the closet of all his comrades! That would make for fascinating watching! 🙂  "@melds melds - yes @Maritime Studies - agreed *Without "I don't remember ANC cadres definitely get lessons in giving long-winded answers to short questions to try & shift blame. At least they have one competence!! She is not looking happy!! @melds melds - she can read??? 🙂 🙂  Chairperson let me digress a bit! What a joke! DCJ & Mr Soni - please pull her right back onto the question she is supposed to answer & don't allow her to ramble on! "@Heather Durr - not more than ""particular""" The work of Prasa - she doesn't know the meaning of the word 🙂 ! This is the best soap opera I have ever watched!! "@OS Muzik - definitely Miyeni was not treated like all other witnesses "The problem with these ANC politicians is that they think they are above the law & forget that we Yes Mr Soni - you have her!!! "@Andrew Mboweni - I agree that we need new young blood in leadership positions in this country @Mr L - but they did lay charges against Dudu for exposing the witness. Not sure when it will go to court though. I must say she is highly skilled in talking her way out of a paper bag! BS baffles brains It is just so scary that people of this calibre who are so intellectually challenged & corrupt are running our country!! @Van Rural Boy - who's Nzeku again? "Oh right @S V 1 @Van Rural Boy - oh yes! Now I remember 😆 unbelievable! @Aubrey De Bliquy - so true! The lockdown is killing more people through poverty & starvation than Covid ever will = ANC government! Mr Soni is one smart cookie - he is leading her nicely to expose her lies. DCJ is weaving a web to catch her out as well. @Aubrey De Bliquy - 100% The biggest scamdemic of all times! The politicians around the world have had a taste of totalitarian rule & they just want to increase their control & power! @John Everitt 👍 "Let's have a meeting about a meeting about a meeting & 2 years later "@Louis C - I know he was an ANC member before he was appointed DCJ If she is not guilty then she wouldn't need counsel to interject on her behalf. DCJ & the EL see through her tactics! He is trying to be far too nice when it's not for real. All he is actually doing is trying to avoid his client telling the truth. I love it when they refer to themselves in the 3rd person! @Sal SA - exactly 🙂 🙂 ! It is too much @DieVet Eierrr - she is saying Dipuo - speaking about heself in the 3rd person @Maritime Studies - were you at varsity with Mr Soni? "If you know your people rely on trains @Louis C - What do you mean? and 10% into cadre pockets @Tommygun - what a combination!! "More jobs for friends - 65 executives!! Unbelievable. I should have gone into the public sector "@Previous Nkopodi - ha ha 🙂 well if you can't beat 'em "I'm so sick of these guilty politicians pleading ignorance when they are so far in it "@Tommygun - geez @ R4 @MIKE DURBAN - agreed. There has to be a coalition so that the ANC can't dominate & override all opposition parties. * definitely Who is this woman? Was she the whistle-blower? She was the former head of Legal at Prasa Just a pity that whistle blowers are villified & shunned! It shows you that the current PRASA Board is still corrupt! Unbelievable "@Diane Louw - yes @Sal SA - All the banks should be investigated for corruption with the Guptas. Nedbank is just the 1st one to be exposed. I am moving all my accounts from NB to FNB.
Pastor J.J,I  wisxh  you  azndc  Predciousx  I  wisxh  I I  I " ok  I    I Goodc  I "I wish you all and your Precious families a Blessed @Diane Louw Thank you Dearest Diane @Kevin W Greetings Kevin @Kevin W Thank you Kevin. It is hearfelt and sincere @Heather Durr Greetings Dearest Heather Ms Peters seems to be intently economical with the truth. Her truth is more scarce than the Vaccines at the moment. @Louis C Brilliant Bro. and Greetings too @Lorna Kavanagh It would be easier to approach that subject if we looked for who is not corrupt. I tried and could not find one department. @Sal SA Greetings my Brother @Stix Mtolo Greetings Bro @lucky montana...please raise your hand so we know who you are on the chat. Dont keep us guessing now @Lerato Moleke Greetings my dearest Lerato @Anne M. Greetings Dearest Anne @Diane Louw Maria Gomez. Also a middle person like Bro Salim Essa @Jenny Whitewaves Greetings Dear Jenny @Tommygun 100% correct @Cruda Bex R350+ Kota + juice @Cruda Bex How many Judges you want to bribe? I can organise a discount for you @Cruda Bex Ja Ja Ja. Lets tax the farmers 99%. And increase the price of cabbages by 5000%. We can happily buy cabbages for R750eaach. Thats right Cruda @Heather Durr Ex Head. She was recently fired @Heather Durr True @Raj Rad Education उस बारे में आपकी क्या राय है @Louis C Why? @Teunis van Ree Greetings Prof @Louis C Montana @Louis C Either way he is going to be a very poor man soon. Even poorer than me. Maybe he can open a Pizza shop in tronk..hahahahahaha @N N Greetings bro. I am beginning to have serious reservations of Pravin. @Kevin W They can split in 2 or 4 but that only means we would have many parts of crooks. The ANC must go for us to have even a small chance @Kevin W absolutely not. The pigs will continue to find the trough. Its become 2nd nature @Kevin W hahahahaha. My efforts resulted in a new World Record. We need the Hawks etc to do their jobs @Shirley Tilley Its an Institution and not an Enterprise @yoliswa mbebe They probably all dead @Sal SA Disclosure clauses was in their agreements. However it seems that it was structured in a way to still allow for the shenanigans to happen @melds melds Maybe I can sue Aunty too? @dorman kulani That was a nice joke.
Frederick,how did he die? i dont see anything about Diko's death on youtube sabc news Khusela Diko's husband? @Jabu Malinga 😅 the commision of enquiry is brewing a storm anyone saw the SANDF military parade at the Medi World War 1 commeration yesterday? Judge Zondo is Zulu? @rohan barnard 😅 "lets see
Sinethemba Mungwe,We want Tony Montana 
Mzwanele shange,"🥺🥺🥺🥺 say ""hi"" to me you people" @lerato moleke 👋🏾😊 where is that lady who made Mr Ndzeku develop first class amnesia.... "@Cooler Cat do you know of a certain Dali Mpofu.... who never gets his argument across well ever since I knew him word salad now ma'am Peters 😁😁😁😁😁😁 one that stood out now I remember "all these people worked to achieve one goal.... all departments looted and vetting was easy... ""are you willing to WORK WITH US if yes then we have ministry for you""" @Louis C funny story that.... @OS Muzik miss Kwinana frustrated me watching... I didn't blame the chair on his handling of her
Stand for Truth with Khustaz,Majavu is back 😀😀😀😀 This EL doesn’t inspire confidence. I hope we will get something out of Mhe Peters @Albert Noah I agree 
Siya Dilimeni,Hay suka uZola beye ecaweni? @Jabu Malinga the other half is for whiskey  "@Akhonamandla Gala haysuka usindiswephi lo? inoba ebesiwe ngumfazi ecaweni... when your wife takes you to church and you don't come right fakani le mic ku Adv Soni emlonyeni UTHINI NGOK' UMAMA  @TW Ntshingila HAY WENA 😂😂 tshesa ta Zibha
FredBKevin,and sound gone lols 
Buti Sipho,madoda @SABC News  Wat was happening into your shoes at that time....?
Anne M.,@SABC News no broadcast "That's what Lucky said "@Tommygun Spot on "@Trevor Harper Yup
Kim Polly,SABC from the same family as Eskom ..  junk Status  lol SABC got wet coal too..
Peter Lukas,We are in the dark!!!!! to much blabla i was in South Africa and even the people which sold you the ticket for the train dont even know if the train will be on Time or will come "Heather they are all arrogrant
Bahlali theresident,"I just got here and it’s dark
dominic mabe,:stayhome::stayhome::stayhome:useless :stayhome::stayhome::stayhome:useless sabc🤔
SABC News,"apologies for the break-in transmission
mathys botha,"g m all Zuma was in charge for 9 years without doing anything about RET. Now all of a sudden he and his gabbbas are raving about it.
melds melds,live on channel 405 Channel 405 on Dstv "you have not missed much "@Heather Durr morning Morning @Lerato Moleke @Previous Nkopodi @Valencia J @Teunis van Ree Hope you all well today1 Hi @Martha Sello  morning @Sal SA  hey hey @Stix Mtolo  Hier gaat ons Roman Catholic nogal heya @Maryann Diamond how art thou? oh of course much paper work first hahahaha @rohan barnard yes also the first time I see him more @Diane Louw  @rohan barnard me thinks he is going to be veeeeerryyyyy thorough  Hello @Pastor J.J  "Did they do an introduction hahahahahha @rohan barnard and speak into the mic @Thembele makaula he is coming back this on is going to be long story talker again hahahaha @Teunis van Ree foot soldiers are always deployed @Diane Louw easily manipulated I think Big MAMMA hahahaha @Valencia J OH DEAR........... LONG stories @Akhonamandla Gala they always try this long story tactic hahahahha @Heather Durr  we dont want to hear this shyte MAMMA  This one is Mamma GOOOO GOOOO hahaha @Sal SA  ok enuff now I agree @Tommygun  WAKA WAKA WAKA KAKA KAKA  she was incompetent  Deployment  Ag jirre  ouch @TW Ntshingila  "successful sorry this one is so funny ag shame poor President of course it had to @Diane Louw  This one has been so politically manipulated and brain washed heya @Goatee - how are you I did not @André du Plessis but saw something was in the news??? Golf "@Jabu Malinga sorry heya @ALTA  @Goatee - I can PRAAT ja @Xolani Sibiya why do you say that? shurrup MAMMA just answer the question no @Goatee -  hahahahaha @TW Ntshingila  @Goatee - da english Butternut on TV Former President Zuma says the law is soft on the criminals hahahahahahahahahaha Oh this one eish aga NEE go sit @Previous Nkopodi yes but very rich coming from him hahaha @Goatee - a south african one ag BABA leave MAMA to do her thing sit down now shurrup DCJ is getting frustrated I agree @Quinton van Eeden  hahahaha @Goatee - no just south african english These lawyers know how to interrupt the EL leaders  Try and throw them off course Pule's former lover was the mastermind says the hitman to hide the pregnancy from his wife @Goatee - Zuma should not be your role model hahahaha he had a think over tea time no not me either please hahahaha "@muthu wa vhathu next week @Stix Mtolo it is unforgiveable  Mmmaaaaassssskkkkkk take it off thank you she has to close her eyes to remember hahahaha @charlie zamile  "oh my word I agree @Quinton van Eeden he must get to the point now who was part of the lobbies and why???? @Kevin W very true ag thank you so much MAMMA hahahahahaha "because the president fell asleep English mamma "@Previous Nkopodi she should speak english hahahaha typical @Kevin W why even attend if you dont know what the meeting is about??? all she is is a deployed Zuma foot soldier....... are there no minutes available of this meeting? "@Maritime Studies unfortunately lol @Kevin W  how disrespectful.........come again Chair..........this one is above herself lol @Maritime Studies  "@Albert Noah yes @charlie zamile no because she thinks she is above all answer the question @Previous Nkopodi he will never be locked up "no @charlie zamile for them they felt they were entitled to what they took "@Previous Nkopodi he will not be at the commission if that is what you asking why??? eish dont start with that again @Goatee - assebliefies "he wont come Why was the meeting not recorded or WHERE ARE the minutes????? its been around ever since the beginning of mankind @Goatee -  "@Previous Nkopodi absolutely @Maritime Studies he was sleeping sounds like she was giving direction in government they way she talks @Sal SA she has no respect "@Previous Nkopodi it smells vrot yes @Heather Durr RELEVANCE please no man what is the point MAMMA @Sal SA I dont she even know what the question was shurrup !!!!!! Please DCJ she is derailing here thank you DCJ @Sabelo Nxumalo she is not answering the question jirre @S V 1 all of them "@Goatee - we need to be able to have patience with each other and allow for different views @Stix Mtolo for sure!!! If she does not get stopped she would be shouting "no "@sammy sammido how can you say that here we go...........you know "to the ANC @S V 1 yes agree @Diane Louw  into the mic please Indication yes because you are accountable as a Minister @Albert Noah EL referred to Molefe as Mrs ag jirreee........stop die ding oh here we go lol @Previous Nkopodi  another time to say shurrup and sit down they not stupid "sit down thank you @Goatee Sir  @Moonchild he wont because then he will be doomed for ever "Zuma is very comfortable This commission is just trying to see how the corruption took place so that they can try and come up with solutions to prevent it from happening again "@Mphikeleli Masinga this is about current state capture hahahaha and then all confused look "@Previous Nkopodi dont get involved no worries tooo slowly @Thabo Seoko  @Mphikeleli Masinga lets then hope they do a better job at this commission then! boooom "yes Minister In the study groups??? and then???? 123 time again it seems sadly exactly @Tommygun  now she is looking for another notebook want clarity surely she would know what was going on in the public space regarding her portfolio "@Lerato Moleke I was thinking that yesterday they have no idea what governance is @Canis Africanis nice! @Lerato Moleke people dont seem to like happy news "They would never say Zuma was wrong @Lindwell Daniels we would not have a government ever under anyone Hope all those that voted for Zuma are happy @Maritime Studies as they saying goes... every dog gets its day hey hey @Pastor J.J what happened with your keyboard yesterday? morning @Diane Louw and @Kevin W  is the application going to be heard today? Zuma's contempt are we still paying for all Zuma;s legal fees? @Moonchild she read all our comments hahaha "yes or no Trial date set for 17 May for the arms deal well he may be locked up so may be taken in shackles @Pastor J.J  "@JD CROSSON jy boetie gaan lang trane huil........get the kleenex "the Zuma supporters are not going to win here in this chat "Back now Hey @zip reeper where have you been? heya @Lerato Moleke @Valencia J @Previous Nkopodi  tnx @Diane Louw  oh did she admit to that @Tommygun ? oh hahahaha they are such idiots @Thapelo Motabogi you clearly have no understanding of this commissions mandate "@Thapelo Motabogi I suggest to you @nduduzo mabuyakhulu if not Zuma than who?????????? @Previous Nkopodi was already in court that is correct @Stix Mtolo  A 3rd of this country is unemployed......... "@nduduzo mabuyakhulu watch this space "and BTW @nduduzo mabuyakhulu Chair has to come up with proposals to prevent if his findings are that state capture did take place the rich includes Zuma ne @Cruda Bex  yip @Heather Durr  Tax has nothing to do with the colour of your skin @Cruda Bex silly person @Previous Nkopodi people keep referring to that disgusting apartheid system and that is why this country is stuffed up..........absolute bs "What the ANC follows is not communism or even socialism ANC is MAFIA How can POPO still be in any position?????? @14nateg POPO MOLEFE???  Chair of Transnet??? I hope she takes the board to the cleaners!!!!! @Tommygun so far it seems she has given truthful evidence Mask please chair "You go Chair Best Labour Court Judge ever!!! @Tshire Thobega head of legal not if the board is party to the corrupt @MIKE DURBAN please can I be on the team to set the KPI's up???  YAY we a winning team @MIKE DURBAN  "I am going to sue the ANC for all my medical bills And we must be able to debate with each other without fear of retribution @MIKE DURBAN  We can join our claims together @Kevin W  yes @Pastor J.J put forward a combined claim against all of them "@Kevin W no Banks only care about making money from the fees..............they do not care about where the money comes from or where it goes to "yes they do "@Sal SA I agree with you
Koketso Tlhabi,Even eNCA died now Vas Soni "Zola Majavu. One of the celebrities lawyers we have in the country like Dali Mpofu "@Lerato Moleke Ja people can be heartless. A person has died. Yes he was involved in corruption
Nkosinathi Nu,whts happening now we using our Data:elbowcough:
Cooler Cat,who's testifying first than I know the reason behind the black out who's the witness today? Zola Majovi is a top legal mind "@Charlie Zamile "@Mzalwane Shange
TheQueen V,morning my lovely people @SABC thats why people dont pay tv lisence 😒😒 "@Teunis more my eie "@Previous oh my stando @Lerato molweni swty @Sal hey my favorite how are you @Stix 🤚 @Teunis hier in die kaap waar ek woon begin voel dit kouerig soggens en saans. So ek weet nie of die seisoene nou verander nie. Ek kan nie wag vir winter @Stix amazing.... so today im back to love status🤐🤐🤐 @rohan 😂😂😂😂😂 hawu @Previous my one and only 😘 @Diane hey dear how are u @rohan hello my eie😘 @Diane same here.... @martha 😂😂😂 dont be that one plzzzz @Lerato you are jinxing it.... they are coming now in 1....2....3 😂😂 @Gala why must you always be that one eish😂😂😂 @Gala look at the backround singers joining your choir now😂 @Lerato null and void😂😂 guys did you see that nonsens story of sandf buying bogus vaccines from cuba because rhey thouhgt were were in a chemical warfare😂😂🇨🇺 what a joke yesses we are on our own. we have stupids here "@Gala stix can never be hurt by me "@Lerato nothing suprises me anymore "we need direct elections they usually start off hot like her until. they are cornered. Advovo i hope you drink your score this morning. Mama seems to be on a roll she said molefe is correcr mama so you are telling us you are sqeeky clean ingemeng in die hele storie 😂😂😂 yes advovo go there mama listen and answer rhe question. i like this advovo @Previous now you know. Even your eskom @Kevin and the rest of us? @Previous eksom @Xolani plz we all know he is guilty. its just the RET faction that is in denial. The rest of us have braincells which is very active. Yall. has been programmed. We move "@Previous i am a great secretary @Maritime 😂😂😂 you really are the most confusing chap on this chat for me 🤣🤣 @Xolani plz do us that favor @Stix and mini skirt😉 but the president was never exhausted of stealing @Christy alot of black people speaks afrikaans @Xolani we usually leave that to the sheeples. bla bla bla yes we know he was a very very busy man "we know he was a very busy man @Xolani maybe we wouldnve been in this mess now ne... if only "@Charlie why should they bounce around that stokvel mkmva? They should drive through them to get to that butternut. That mkmva cant hold the country ransom "@Previous "daar begin dit @Previous fire 🔥🔥🔥🔥 @Xolani when horses grow horns @Mike 😂😂😂😂 you always post that @Kevin.....everyday im waffeling 😂😂 @Mike i agree oh we are at apples now telling advovo how to do his work.. now chair will want a teabreak to sort the mess😂😂 @Alta hey hunny yea advovo she left it out deliberately yasss advovo enjoy tea guys🍵🍵☕ whos kissing who here🤔🤔😂💋💋 @Stix eish you dont miss a thing @Stix like tupaz tupac mama is listening in afrikaans 😂😂 again mama afrika
Ishaad Mohammed,adv Sono 😶
Lynn Barnard,Hello there everyone. Hi Heather 👋 We got no rail lines. it's all at scrap metal yards Deploy..........tenders:yougotthis:
rohan barnard,Woohoo! A witness in the stand and not via video Hi there @Heather Durr  Agge noenoes! Who isthis sweet old man Adv? @Valencia J hi skat! 😀  @melds melds right? I've never seen him before "@melds melds if he remembers his questions Hi Queen K! @Sal SA not brown envelopes anymore. It is mos LV bags 😅 Also the Prime minister of New Zealand
Rudolph Cele,"shouldn't miss hofmeyr dealing with this evidence??
Maryann Diamond,hello beautiful and handsome ppl:virtualhug::virtualhug::virtualhug: heya @melds melds .. though are lovely thanks 😘 wAqr waar hmmmmmmmm yup examples gallor 🤣😭🤣
Albert Noah,@Martha Sello. His presentation skills are cold... @Thembele makaula. But they got Mr. Molefe's affidavat Some of these cases should be closed in time...check Chief Diko is gone while the PPE case is still open This is going to a long day. Adv Soni is not up to the task today @melds melds. And she proceeds to page through the document And her evidence is proving friutless too @Thabo Seoko. Most probably slept throughout the meeting and they just walked away. Left him fast asleep.... @melds melds. She is talking about Mr. Popo Molefe
Thembele makaula,But Mr Molefe didn’t finish 
Thabo Daniel,y these state capture commission doesn't appoint young lawyers instead of these old tired mdalas I dnt think she will answer questions instead she will tell us a long story so Jeff radebe was close to lucky.only connected anc people are allowed to steal on soe's so she confirmed that zuma fell asleep at a meeting. that's how the meeting ended they would never say anything cz they where scared of Zuma Montana is buzy tweeting that zondo want to find zuma guilty ANC should be removed from power they have looted its enough. their president was correct when he says ANC is accused number 1
mafuta,I think the waffle machine is now up and running. Thula gogo someone please pop the gasbag
hirsitus,@Quinton van Eeden try Adblock plus  Liar liar  she likes he own voice  🙄
Joe Blogs,work as a team steal together and share???
Koena Boity Sherif,if the work was too much for you. you should have LEFT. ke yona mbokoto ye? u are loosing ur credibility boy he is preventing this woman from telling the truth
Dawie Van Der Merwe,100 years back ha ha ha
BoomshakaDK,"the only way to stop the ANC corruption is if the whole government resigns
Tommygun,So where did you take rail? Try sort out simonstown to cape town.... @Diane Louw Lo! Usual start to the week. I wonder when she last caught a train? You might just have been a willing enabler... "@Goatee - been around 10 private sector wld never employ them..unless contracts were guarenteed What ever you did you stuffed it up royaly. Ms Peters She has Cuban credentials! Whats Luckys' real first name or is it Lucky? Was it not turned into a racist narative asking for engineering qualifications? you can always follow up on your concerns? @charlie zamile Thats the problem with a chums and patronage network. She seems super nice but i cant help feeling she shld be selling cakes at the church fete rather than deciding on the fate of public transport and the spending of billions. @DieVet Eierrr its contagious! lol @Jenny Whitewaves LOL @Diane Louw wasnt she some Portugese/Mozambique business woman who became a middle person? Maria da Cruz Gomes ...Angolan and friend of Number 1 (ex) @Jaco Kritzinger 🙂 Whyt no skills audit when applying for the job? "Shes a stooge "@melds melds there was mention of siphoning of 10% of the loco contract p[rice and giveing it to ""The Party""" @melds melds there was discussion as to why 10% shouldnt go to the ANC... "@Thabo Daniel sadly we cant remove them Im not sure how much loot Zuma escaped with I suspect not the amounts his henchmen or the Guptas escaped with. I think he was pretty used and ended up with chump change. Still an enabler extrodinaire. "@Moonchild True @Thapelo Motabogi Dont forget when Zuma set up this comission into state capture it had a particular focus.... @Be you gotta eat! "@Be well they got close to 40% at source before it hit my pocket then I get bled on fuel tax "@Thapelo Motabogi He ewas not Presidential in any way "@Thapelo Motabogi flash suits "@Thapelo Motabogi Thats not why the comission got set up...anyway @Previous Nkopodi Got to fight blinkered vision or selective seeing. Its all too tragic...seriously we had a moment where as a country we could do it all...its all kaka now. @Thapelo Motabogi Racism has been about for 10000 years and is alive in most countries in the world and you think it should magicaly vanish here in ZA? "@Thapelo Motabogi not what i said @yoliswa mbebe A lot of the leaders of the ANC were able to peep from behind the curtain. How come not others? @melds melds preach! @yoliswa mbebe Just start fixing it and worry about the lighting after.... Who will be the first here to claim this witness is a WMC puppet.... "@yoliswa mbebe there is so much broken at the moment @Lorna Kavanagh and great investigative journalists.. I dont know the lady but Im filled with a certain confidence in her ability to do anything whereas many witnesses Ive had the opposite feeling. @Jnr General PRASA theft and mismanagement by the board @zip reeper Never ask me for a job....
Queen K,Long stories as always Do they ever take any responsibility whatsoever? Morning Rohan Valencia my lady  val work babe Val Yolo More molo nono "Uxolo sthandwa Yolo umsebenzi Dumela page Alta how are you lady? Hai this mama "Ai crooks
Be,She talks like she had to invent the system from scratch Only half of our rail "only half of our entire rail system The Sishen line closed. The Noupourtmde Aar line closed. The East London line closed. The Makanda line closed ... to name just a few WOW! that's a hot potato to leave burning through lunch!! ... why Cabinet sat by and watched the looting Zondo is a gentle genius! well argued "so what offends her is people using the ANC name to make money For every R1000 you don't spend you deprive SARS of R150 Imagine a million people NOT spending an extra R1000 per month
Sérgio de Matos,"Eh
Granny Mokwena,🙄🙄🙄 ANC praises.. evidence leader stop this..
S V 1,DCJ must stop this train it's already off the tracks but still building up steam ... jirrie take a breath hallo daar @Diane Louw 9 years of making jokes & counting money .. busy busy man the mind boggles to think this waffling auntie was minister of transport !!! @melds melds to become a minister they should at least do a basic IQ test .. magtig man ! this auntie is a PRIME example of why the country is in this dysmall bangcrupt state ... look no further ! @charlie dont feel sorry for him he put incompetent people there so he would not have any resistance .. it was all his doing and pre planned ! that's why gangs always let everyone share in the loot .. the only way to keep the cabal quiet ! @Moonchild Nseku the guy who did not know he had 2.5 million in his bank account ... although he merrily spent it all yesterday it was her eye's .. now blocked ears ... total loss of memory should follow shortly ! it's now been a day & a half of bla bla bla and not answering a single question .. doodley squat ! @zip reeper haha we should let you loose on the soe's too finish them off once & for all !!!
Immanuel,"dont take her advice Chair "majavu celebrity lawyer "ask jub-jub
Tankiso Molekane,context is critical
buntu goqwana,"Champion Zuma..??.........thinking
Candy Olga,zondo is a gud listener ndi matsheloni weh @goatee ndi hone wehh ndi masiari vhathu vhothe
ma baker,excited about the available money. hallo. advo ask the questions the way you want to. she is clearly irritated
Brennan Fredericks,atleast she is lying under oath talks alot
André du Plessis,yup Lynn 22222222 444444444444 molo melds "the word ""mEEting"" <--- said like that = lies follow" informal mEEting formal mEEting in my heart this irrational jumping from topic to topic seems to point to guilt so did anyone notice the head of the NPA on the CR17 list of paid judiciary? "it's going to be a long week in politics shamila enjoy previous 😀 Jabs Zuma's daughter tweeted a list of paid judiciary from cr17
Maritime Studies,This one is a liar She destroyed the Maritime Branch at DOT "@tankiso Molekane: you know  "@tankiso molekane: Tell her I said so. She nevever fought for liberation "Dipuo hated me with passion at DOT. Jeolous of me because I was senior to her in all respect. She had only politics to fight me. So I left Maritime with nobody. @mike Clark: typical of her I wish to meet her in the. All and greet. That will happen one day. This is not a threat. I just have unresolved issues with her. In the mall. ( correction) @melds melds: she will care when we meet. "To me The President has body guards. Dipuo is lying. "Thanks DCJ @SV1 👍👍 "But you did not appreciate that we also know our sectors Tankiso knows where your documents are. "@thabo Seoko: Oh yes "If Dipuo was not yet born in 1976 and she is a Minister "Zuma was not alone "Dipuo likes cadres A tie Peters will confuse you with long answers that are irrelevant. Most people lie about qualifications especially those obtained overseas. Government departments don’t follow- up.  She has people to collect documents for her. She is a joke. " "What would be the implication of releasing him- I mean  "@mike Clark : exactly Dipuo is closing her eyes now🤣🤣🤣🤣 "Governance Antie. Period I enjoy seeing Dipuo cornered. Today I am here the whole day. This is a cure to me.  I am already here. This session is my favourite. I like to listen to Ms Peters "She entertains me. I knew she was not smart But I like her assertiveness as a woman- on a lighter note. Letsoayo "No "A representative of DOT at IMO is an Agency "Dipuo "@ louisC Yes @Louis C : These people can’t differentiate between the Government of the people of the Republic and their political party. They use a political card across the board @kevin w. I was suspended 3 times because I closed corruption in the Maritime Branch. I didn’t sign corrupt documents. I won all the cases. Two were under Dipuo Administration. Under her administration SAMSA from 2016 had no CEO. She left the status quo like that. To date SAMSA has no CEO. That’s why I say she destroyed the Maritime Sector. "I respect Zondo. As a Lawyer. Myself "She was scared of Collins Lesoalo "@OS Musik: You are right "@Sal SA "@ Andrew Mboweni: I have witnessed young people messing up in all respects in my life "@Andrew Mboweni: Check all Parliaments and UN structures all over the World "@ Lerato Moleke: I told you yesterday. She talks non-stop @Jenny Whitewaves: Now you know who Dipuo Peters is. "I was with this Guy at University when we were doing LLB @ Jakokritzinger: I prefer not to elaborate @kwazi Buthelezi: Definitely  "@SaL SA: you are right Instead it’s me who remains nothing because of Dipuo Peters. After resigning in 2016 being self employed "@kwazi Buthelezi : which means I would have been in that category now. But I chose to specialise with Maritime both technical and legal “Left it as such” no oversight. This is a joke. I will leave now that Dipuo is leaving.🤣🤣 "At least I have said some of the stuff about her as far as my unendurable life with her. She was too junior to me I Age "Dipuo would shake when Lesoalo talks. Mr Lesoalo "I wish everybody’s talent should not be lost. We are all specialists in our areas.This includes Engineers 
Sipho Dineka,Now where are the trains gogo anc have destroy the transport of the poor we are more poor stop praising yourself
Jenny Whitewaves,@TW Ntshingila are you tired of life to say such things The prime minster of Iceland is also female  Mr Soni sounds as if he knows he has the dirt on this woman  I think she has practiced this reply in the bathroom mirror  "@charlie zamile is there not a helicopter pad next to the fire pool. Quick in he's worried what she will say as she rambles on The less she says the better for her  the only reason personal notes is to refer to if ever needed to know exactly what happened so no why do you lose them I have notebooks 10 years old just in case  no way  I don't remember if I lied to parliament  As minister the buck stops with you that's why you are paid those huge salaries  Ethical matters are not of concern because they get in the way of the brown paper packets The country started to go down at the point when it was not realised that excellent freedom fighters were not necessarily able to run a country So major positions became rewards instead of jobs  There should have been found other ways to reward those who sacrificed for freedom and not allow their inabilities and believe of being owed to bring down the country @Maritime Studies yesterday we learnt the such cabinet involvement is actually against the law  "She has proved herself to be incompetent @Tommygun you under estimate the level of politics in a church council. That is cut throat  morning pastor Instead of more taxes tommorow CR should cut the number of ministers dep ministers and cut their expenses I know but you have to hope  We need a state were laws and country direction were the responsibly of an elected parliament. The administration of those laws and service delivery the responsibility of professional companies "@Cruda Bex then the farmers go bankrupt  "We know apartheid was an evil wrong @Andrew true however excuses and looking back only stops us moving forward  @Andrew Mboweni Clement Attee was a closet communist masquerading as a member of the labour party following those people would say goodbye to democracy  @Andrew Mboweni he cost the labour party the election @Andrew Mboweni Singapore they started at the top. Jailing a minster for taking a holiday he didn't pay for himself No tolerance for any level of coruption That's the way  @Andrew Mboweni China the largest economy but it very little filters down.to the average guy Also they placed a one child per couple law = exposed girl babies and selective abortions That's ruthless  "@Andrew Mboweni my children have already left @Heather Durr if the rand was stronger or we had had more forsight we would have been with them 
Syug,It’s a smokescreen! BS baffles the brain
sifiso Mazibuko,adv Soni is on fire 🔥
Fortune yaka,Why did she apologise for speaking afrikaanse 
Christy,Jirrr this Aunty pulled out an Uno trap card and spoke Afrikaans! She seems fluent in Afrikaans. and here I am stuck with my trappe van vergelyking Jirr sy praat daai trappe van vergelyking taal. Her lies are on crutches right now
Xolani Sibiya,Yes! Zuma in guilty everything... Yes! His whole administration is guilty of corruption... 🥸🥸 Clearly that’s what our learned middle-class wants to 👂 hear... Otherwise we shall call you a 🤥 liar🧐 😅😅 then then job is half done...let’s just move to sentencing him Valencia  "Valencia J Valencia J would make an excellent minister of justice under Apartheid regime...  "Mike Clark This ZonduZuma Commission must just try to be fair and impartial... We want the whole truth as South Africans not the convenient and half truth.. Melds Melds it’s so obvious  When is Lucky Montana coming in
TW Ntshingila,"@Quinton van Eeden "@Quinton van Eeden "@Quinton van Eeden "if Fikile Mbalula was a woman "@Koketso Tlhabi
Subash Lalloo,"This commission should just wrap up and stop wasting further resources. It has no teeth and in any case the CC is not obeyed so we can all do what we want. Rape
AKBERALLY OMAR,Sy praat die taal van die land. 😀👏
Lorna Kavanagh,"The latest epistle according to Zuma ... ""The law is soft on criminals"":buffering:" "This whole state Capture. is huge. Nearly every gov department All this nonsense is to create a tangle of lies and deceit. As i remember De Klerk was the one who recognized the need to bring the ANC onboard and to release Mandela.
